Ticker,Date,Label,Close,Probability,Range,Detect,Five,End
000080,2018-03-13,buy,21050,0.75,2018-03-02/2018-03-05/2018-03-06/2018-03-07/2018-03-08/2018-03-09/2018-03-12,2019-01-09,21100,2018-03-19
000080,2018-04-19,buy,20900,0.71,2018-04-11/2018-04-12/2018-04-13/2018-04-16/2018-04-17/2018-04-18,2019-02-08,21750,2018-04-24
000080,2018-07-09,buy,17900,0.706,2018-07-02/2018-07-03/2018-07-04/2018-07-05/2018-07-06,2019-01-17,18450,2018-07-16
000080,2018-08-22,buy,16750,0.725,2018-08-14/2018-08-16/2018-08-17/2018-08-20/2018-08-21,2019-01-09,16550,2018-08-27
000080,2018-08-23,buy,16600,0.727,2018-08-14/2018-08-16/2018-08-17/2018-08-20/2018-08-21/2018-08-22,2019-01-04,16750,2018-08-28
000080,2018-11-07,buy,15600,0.728,2018-10-26/2018-10-29/2018-10-30/2018-10-31/2018-11-01/2018-11-02/2018-11-05/2018-11-06,2019-01-02,15750,2018-11-12
000080,2018-11-08,buy,15650,0.806,2018-10-26/2018-10-29/2018-10-30/2018-10-31/2018-11-01/2018-11-02/2018-11-05/2018-11-06/2018-11-07,2019-01-09,15700,2018-11-13
000080,2019-01-21,buy,16100,0.749,2019-01-16/2019-01-17/2019-01-18,2019-02-18,16550,2019-01-28
000080,2019-01-22,buy,16150,0.717,2019-01-16/2019-01-17/2019-01-18/2019-01-21,2019-03-28,16550,2019-01-28
000080,2019-01-23,buy,16250,0.702,2019-01-16/2019-01-17/2019-01-18/2019-01-21/2019-01-22,2019-05-24,16550,2019-01-28
000080,2019-01-24,buy,16200,0.732,2019-01-16/2019-01-17/2019-01-18/2019-01-21/2019-01-22/2019-01-23,2019-06-17,16650,2019-01-29
000080,2019-02-22,buy,17300,0.707,2019-02-18/2019-02-19/2019-02-20/2019-02-21,2019-02-22,17900,2019-02-27
000080,2019-03-25,buy,17950,0.72,2019-03-20/2019-03-21/2019-03-22,2019-03-25,18350,2019-04-01
000080,2019-04-10,buy,18250,0.759,2019-04-03/2019-04-04/2019-04-05/2019-04-08/2019-04-09,2019-04-10,18150,2019-04-15
000080,2019-04-22,buy,18250,0.727,2019-04-15/2019-04-16/2019-04-17/2019-04-18/2019-04-19,2019-06-04,20550,2019-04-29
000080,2019-05-13,buy,20150,0.719,2019-05-07/2019-05-08/2019-05-09/2019-05-10,2020-04-22,20600,2019-05-20
000080,2019-06-03,buy,20350,0.799,2019-05-24/2019-05-27/2019-05-28/2019-05-29/2019-05-30/2019-05-31,2019-06-03,21500,2019-06-10
000080,2019-06-04,buy,20550,0.74,2019-05-28/2019-05-29/2019-05-30/2019-05-31/2019-06-03,2020-05-12,21500,2019-06-10
000080,2019-06-21,buy,21000,0.758,2019-06-17/2019-06-18/2019-06-19/2019-06-20,2019-06-21,20850,2019-06-26
000080,2019-06-25,buy,21000,0.826,2019-06-17/2019-06-18/2019-06-19/2019-06-20/2019-06-21/2019-06-24,2019-06-25,20300,2019-07-01
000080,2019-07-03,buy,21150,0.766,2019-06-26/2019-06-27/2019-06-28/2019-07-01/2019-07-02,2019-09-04,22000,2019-07-08
000080,2019-08-06,buy,20500,0.798,2019-07-31/2019-08-01/2019-08-02/2019-08-05,2019-08-06,20700,2019-08-12
000080,2019-08-07,buy,20500,0.837,2019-07-31/2019-08-01/2019-08-02/2019-08-05/2019-08-06,2019-08-07,20700,2019-08-12
000080,2019-08-08,buy,20500,0.808,2019-07-31/2019-08-01/2019-08-02/2019-08-05/2019-08-06/2019-08-07,2019-08-08,21150,2019-08-13
000080,2019-08-09,buy,20800,0.768,2019-07-31/2019-08-01/2019-08-02/2019-08-05/2019-08-06/2019-08-07/2019-08-08,2019-08-09,22050,2019-08-14
000080,2019-08-12,buy,20700,0.731,2019-07-31/2019-08-01/2019-08-02/2019-08-05/2019-08-06/2019-08-07/2019-08-08/2019-08-09,2019-10-01,22150,2019-08-19
000080,2019-08-13,buy,21150,0.709,2019-07-31/2019-08-01/2019-08-02/2019-08-05/2019-08-06/2019-08-07/2019-08-08/2019-08-09/2019-08-12,2020-01-03,22150,2019-08-19
000080,2019-08-14,buy,22050,0.773,2019-07-31/2019-08-01/2019-08-02/2019-08-05/2019-08-06/2019-08-07/2019-08-08/2019-08-09/2019-08-12/2019-08-13,2020-06-29,22150,2019-08-19
000080,2019-10-16,buy,26100,0.816,2019-10-11/2019-10-14/2019-10-15,2019-10-16,27250,2019-10-21
000080,2019-10-17,buy,26150,0.762,2019-10-11/2019-10-14/2019-10-15/2019-10-16,2019-12-02,28100,2019-10-22
000080,2019-11-27,buy,28750,0.712,2019-11-21/2019-11-22/2019-11-25/2019-11-26,2019-11-27,27800,2019-12-02
000080,2019-11-29,buy,28250,0.759,2019-11-22/2019-11-25/2019-11-26/2019-11-27/2019-11-28,2019-11-29,29050,2019-12-04
000080,2019-12-02,buy,27800,0.843,2019-11-25/2019-11-26/2019-11-27/2019-11-28/2019-11-29,2019-12-02,28000,2019-12-09
000080,2019-12-03,buy,28550,0.728,2019-11-26/2019-11-27/2019-11-28/2019-11-29/2019-12-02,2019-12-03,28000,2019-12-09
000080,2019-12-18,buy,28000,0.772,2019-12-12/2019-12-13/2019-12-16/2019-12-17,2019-12-18,27800,2019-12-23
000080,2019-12-19,buy,27650,0.793,2019-12-11/2019-12-12/2019-12-13/2019-12-16/2019-12-17/2019-12-18,2020-01-13,28100,2019-12-24
000080,2020-01-13,buy,27400,0.728,2020-01-07/2020-01-08/2020-01-09/2020-01-10,2020-01-13,32050,2020-01-20
000080,2020-02-12,buy,29750,0.803,2020-02-05/2020-02-06/2020-02-07/2020-02-10/2020-02-11,2020-02-12,29700,2020-02-17
000080,2020-02-13,buy,29400,0.718,2020-02-05/2020-02-06/2020-02-07/2020-02-10/2020-02-11/2020-02-12,2020-02-14,29250,2020-02-18
000080,2020-02-19,buy,31500,0.836,2020-02-05/2020-02-06/2020-02-07/2020-02-10/2020-02-11/2020-02-12/2020-02-13/2020-02-14/2020-02-17/2020-02-18,2020-02-19,28300,2020-02-24
000080,2020-02-27,buy,27600,0.707,2020-02-21/2020-02-24/2020-02-25/2020-02-26,2020-02-27,26800,2020-03-03
000080,2020-03-03,buy,26800,0.708,2020-02-27/2020-02-28/2020-03-02,2020-03-03,28000,2020-03-09
000080,2020-03-05,buy,29250,0.764,2020-02-27/2020-02-28/2020-03-02/2020-03-03/2020-03-04,2020-03-06,28550,2020-03-10
000080,2020-03-25,buy,24400,0.721,2020-03-20/2020-03-23/2020-03-24,2020-03-26,25850,2020-03-30
000080,2020-04-06,buy,29500,0.745,2020-03-31/2020-04-01/2020-04-02/2020-04-03,2021-03-30,28800,2020-04-13
000080,2020-06-09,buy,37250,0.722,2020-06-02/2020-06-03/2020-06-04/2020-06-05/2020-06-08,2020-06-09,41000,2020-06-15
000080,2020-07-17,buy,42300,0.792,2020-07-10/2020-07-13/2020-07-14/2020-07-15/2020-07-16,2020-07-17,42900,2020-07-22
000080,2020-07-20,buy,41200,0.754,2020-07-10/2020-07-13/2020-07-14/2020-07-15/2020-07-16/2020-07-17,2020-07-20,42950,2020-07-27
000080,2020-07-21,buy,42400,0.746,2020-07-14/2020-07-15/2020-07-16/2020-07-17/2020-07-20,2020-07-21,42950,2020-07-27
000080,2020-07-22,buy,42900,0.781,2020-07-15/2020-07-16/2020-07-17/2020-07-20/2020-07-21,2021-04-05,42950,2020-07-27
000080,2020-08-20,buy,38850,0.751,2020-08-14/2020-08-18/2020-08-19,2020-08-20,39000,2020-08-25
000080,2020-08-21,buy,38900,0.739,2020-08-14/2020-08-18/2020-08-19/2020-08-20,2020-08-21,37900,2020-08-26
000080,2020-08-31,buy,36900,0.818,2020-08-25/2020-08-26/2020-08-27/2020-08-28,2020-08-31,36700,2020-09-07
000080,2020-09-02,buy,38200,0.753,2020-08-25/2020-08-26/2020-08-27/2020-08-28/2020-08-31/2020-09-01,2020-09-04,36700,2020-09-07
