Ticker,Date,Label,Close,Probability,Range,Detect,Five,End
000670,2018-02-08,buy,1031000,0.726,2018-02-02/2018-02-05/2018-02-06/2018-02-07,2019-01-30,1022000,2018-02-13
000670,2018-02-09,buy,1033000,0.704,2018-02-02/2018-02-05/2018-02-06/2018-02-07/2018-02-08,2019-01-10,1036000,2018-02-14
000670,2018-05-02,buy,849000,0.708,2018-04-24/2018-04-25/2018-04-26/2018-04-27/2018-04-30,2019-02-18,845000,2018-05-08
000670,2018-07-25,buy,732000,0.708,2018-07-17/2018-07-18/2018-07-19/2018-07-20/2018-07-23/2018-07-24,2019-01-23,743000,2018-07-30
000670,2018-09-07,buy,716000,0.712,2018-09-03/2018-09-04/2018-09-05/2018-09-06,2019-07-05,716000,2018-09-12
000670,2018-11-05,buy,658000,0.797,2018-10-30/2018-10-31/2018-11-01/2018-11-02,2019-01-02,690000,2018-11-12
000670,2018-12-04,buy,727000,0.735,2018-11-26/2018-11-27/2018-11-28/2018-11-29/2018-11-30/2018-12-03,2019-11-19,730000,2018-12-10
000670,2019-01-18,buy,729000,0.719,2019-01-09/2019-01-10/2019-01-11/2019-01-14/2019-01-15/2019-01-16/2019-01-17,2019-03-11,756000,2019-01-23
000670,2019-03-25,buy,826000,0.764,2019-03-18/2019-03-19/2019-03-20/2019-03-21/2019-03-22,2019-03-25,806000,2019-04-01
000670,2019-03-26,buy,812000,0.762,2019-03-19/2019-03-20/2019-03-21/2019-03-22/2019-03-25,2019-03-26,806000,2019-04-01
000670,2019-03-27,buy,815000,0.71,2019-03-20/2019-03-21/2019-03-22/2019-03-25/2019-03-26,2019-03-27,806000,2019-04-01
000670,2019-04-01,buy,806000,0.832,2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29,2019-04-01,837000,2019-04-08
000670,2019-04-08,buy,837000,0.708,2019-03-21/2019-03-22/2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29/2019-04-01/2019-04-02/2019-04-03/2019-04-04/2019-04-05,2019-04-17,816000,2019-04-15
000670,2019-04-18,buy,803000,0.723,2019-04-11/2019-04-12/2019-04-15/2019-04-16/2019-04-17,2019-04-18,799000,2019-04-23
000670,2019-04-19,buy,803000,0.815,2019-04-12/2019-04-15/2019-04-16/2019-04-17/2019-04-18,2019-04-19,788000,2019-04-24
000670,2019-04-22,buy,801000,0.746,2019-04-11/2019-04-12/2019-04-15/2019-04-16/2019-04-17/2019-04-18/2019-04-19,2019-04-22,791000,2019-04-29
000670,2019-04-23,buy,799000,0.809,2019-04-12/2019-04-15/2019-04-16/2019-04-17/2019-04-18/2019-04-19/2019-04-22,2019-04-23,791000,2019-04-29
000670,2019-04-24,buy,788000,0.844,2019-04-12/2019-04-15/2019-04-16/2019-04-17/2019-04-18/2019-04-19/2019-04-22/2019-04-23,2019-04-24,791000,2019-04-29
000670,2019-05-24,buy,723000,0.759,2019-05-08/2019-05-09/2019-05-10/2019-05-13/2019-05-14/2019-05-15/2019-05-16/2019-05-17/2019-05-20/2019-05-21/2019-05-22/2019-05-23,2019-05-29,710000,2019-05-29
000670,2019-06-19,buy,719000,0.808,2019-06-12/2019-06-13/2019-06-14/2019-06-17/2019-06-18,2019-06-19,732000,2019-06-24
000670,2019-07-30,buy,694000,0.75,2019-07-25/2019-07-26/2019-07-29,2019-07-30,623000,2019-08-05
000670,2019-08-01,buy,664000,0.77,2019-07-26/2019-07-29/2019-07-30/2019-07-31,2019-08-01,623000,2019-08-06
000670,2019-08-07,buy,603000,0.746,2019-08-01/2019-08-02/2019-08-05/2019-08-06,2019-08-07,601000,2019-08-12
000670,2019-08-08,buy,615000,0.742,2019-08-02/2019-08-05/2019-08-06/2019-08-07,2019-08-08,603000,2019-08-13
000670,2019-08-29,buy,566000,0.768,2019-08-26/2019-08-27/2019-08-28,2019-08-29,583000,2019-09-03
000670,2019-09-02,buy,574000,0.791,2019-08-26/2019-08-27/2019-08-28/2019-08-29/2019-08-30,2019-09-02,582000,2019-09-09
000670,2019-09-03,buy,583000,0.809,2019-08-26/2019-08-27/2019-08-28/2019-08-29/2019-08-30/2019-09-02,2019-09-03,582000,2019-09-09
000670,2019-10-07,buy,575000,0.715,2019-10-01/2019-10-02/2019-10-04,2019-10-07,576000,2019-10-14
000670,2019-10-08,buy,574000,0.802,2019-10-01/2019-10-02/2019-10-04/2019-10-07,2019-10-08,576000,2019-10-14
000670,2019-10-10,buy,566000,0.825,2019-10-01/2019-10-02/2019-10-04/2019-10-07/2019-10-08,2019-10-10,587000,2019-10-15
000670,2019-10-11,buy,568000,0.832,2019-10-01/2019-10-02/2019-10-04/2019-10-07/2019-10-08/2019-10-10,2019-10-11,585000,2019-10-16
000670,2019-10-15,buy,587000,0.857,2019-10-01/2019-10-02/2019-10-04/2019-10-07/2019-10-08/2019-10-10/2019-10-11/2019-10-14,2019-10-16,632000,2019-10-21
000670,2019-10-16,buy,585000,0.814,2019-10-01/2019-10-02/2019-10-04/2019-10-07/2019-10-08/2019-10-10/2019-10-11/2019-10-14/2019-10-15,2020-03-12,632000,2019-10-21
000670,2019-10-31,buy,609000,0.761,2019-10-28/2019-10-29/2019-10-30,2019-10-31,636000,2019-11-05
000670,2019-11-01,buy,610000,0.796,2019-10-28/2019-10-29/2019-10-30/2019-10-31,2019-11-01,632000,2019-11-06
000670,2019-11-05,buy,636000,0.824,2019-10-28/2019-10-29/2019-10-30/2019-10-31/2019-11-01/2019-11-04,2020-10-15,619000,2019-11-11
000670,2019-11-14,buy,617000,0.732,2019-11-06/2019-11-07/2019-11-08/2019-11-11/2019-11-12/2019-11-13,2019-11-14,630000,2019-11-19
000670,2019-11-18,buy,629000,0.707,2019-11-06/2019-11-07/2019-11-08/2019-11-11/2019-11-12/2019-11-13/2019-11-14/2019-11-15,2020-10-30,633000,2019-11-25
000670,2019-12-24,buy,639000,0.764,2019-12-12/2019-12-13/2019-12-16/2019-12-17/2019-12-18/2019-12-19/2019-12-20/2019-12-23,2019-12-24,645000,2019-12-30
000670,2020-01-30,buy,623000,0.796,2020-01-23/2020-01-28/2020-01-29,2020-01-30,613000,2020-02-04
000670,2020-01-31,buy,626000,0.85,2020-01-23/2020-01-28/2020-01-29/2020-01-30,2020-01-31,608000,2020-02-05
000670,2020-02-07,buy,622000,0.75,2020-01-31/2020-02-03/2020-02-04/2020-02-05/2020-02-06,2020-02-17,624000,2020-02-12
000670,2020-02-26,buy,604000,0.75,2020-02-21/2020-02-24/2020-02-25,2020-02-26,575000,2020-03-02
000670,2020-02-27,buy,604000,0.824,2020-02-21/2020-02-24/2020-02-25/2020-02-26,2020-02-27,569000,2020-03-03
000670,2020-02-28,buy,594000,0.827,2020-02-21/2020-02-24/2020-02-25/2020-02-26/2020-02-27,2020-02-28,569000,2020-03-04
000670,2020-03-02,buy,575000,0.798,2020-02-21/2020-02-24/2020-02-25/2020-02-26/2020-02-27/2020-02-28,2020-03-02,552000,2020-03-09
000670,2020-03-04,buy,569000,0.729,2020-02-28/2020-03-02/2020-03-03,2020-03-04,552000,2020-03-09
000670,2020-03-05,buy,580000,0.772,2020-02-28/2020-03-02/2020-03-03/2020-03-04,2020-03-05,547000,2020-03-10
