Ticker,Date,Label,Close,Probability,Range,Detect,Five,End
000325,2018-07-25,buy,17300,0.786,2018-07-18/2018-07-19/2018-07-20/2018-07-23/2018-07-24,2019-01-02,17350,2018-07-30
000325,2018-07-26,buy,17350,0.712,2018-07-18/2018-07-19/2018-07-20/2018-07-23/2018-07-24/2018-07-25,2019-02-11,17450,2018-07-31
000325,2018-11-02,buy,16600,0.936,2018-10-26/2018-10-29/2018-10-30/2018-10-31/2018-11-01,2019-01-02,17650,2018-11-07
000325,2019-03-06,buy,18500,0.753,2019-02-25/2019-02-26/2019-02-27/2019-02-28/2019-03-04/2019-03-05,2019-04-22,18750,2019-03-11
000325,2019-03-07,buy,18450,0.706,2019-02-25/2019-02-26/2019-02-27/2019-02-28/2019-03-04/2019-03-05/2019-03-06,2019-03-13,18950,2019-03-12
000325,2019-05-28,buy,19850,0.764,2019-05-23/2019-05-24/2019-05-27,2019-05-28,19900,2019-06-03
000325,2019-05-29,buy,19000,0.763,2019-05-23/2019-05-24/2019-05-27/2019-05-28,2020-04-08,19900,2019-06-03
000325,2019-07-08,buy,18900,0.748,2019-06-20/2019-06-21/2019-06-24/2019-06-25/2019-06-26/2019-06-27/2019-06-28/2019-07-01/2019-07-02/2019-07-03/2019-07-04/2019-07-05,2019-07-08,19150,2019-07-15
000325,2019-07-09,buy,19350,0.754,2019-06-28/2019-07-01/2019-07-02/2019-07-03/2019-07-04/2019-07-05/2019-07-08,2019-07-09,19150,2019-07-15
000325,2019-07-24,buy,18650,0.713,2019-06-28/2019-07-01/2019-07-02/2019-07-03/2019-07-04/2019-07-05/2019-07-08/2019-07-09/2019-07-10/2019-07-11/2019-07-12/2019-07-15/2019-07-16/2019-07-17/2019-07-18/2019-07-19/2019-07-22/2019-07-23,2019-07-24,17200,2019-07-29
000325,2019-07-31,buy,17350,0.718,2019-07-26/2019-07-29/2019-07-30,2019-07-31,16100,2019-08-05
000325,2019-08-01,buy,17000,0.788,2019-07-26/2019-07-29/2019-07-30/2019-07-31,2019-08-01,19000,2019-08-06
000325,2019-08-07,buy,17650,0.73,2019-08-02/2019-08-05/2019-08-06,2020-03-20,17500,2019-08-12
000325,2019-08-08,buy,17850,0.76,2019-08-02/2019-08-05/2019-08-06/2019-08-07,2020-03-18,17850,2019-08-13
