Ticker,Date,Label,Close,Probability,Range,Detect
000325,2018-05-24,sell,19700,0.756,2018-05-18/2018-05-21/2018-05-23,2019-01-02
000325,2018-05-30,sell,18650,0.764,2018-05-25/2018-05-28/2018-05-29,2019-06-03
000325,2018-06-19,sell,18750,0.839,2018-06-07/2018-06-08/2018-06-11/2018-06-12/2018-06-14/2018-06-15/2018-06-18,2019-06-12
000325,2018-07-25,buy,17300,0.807,2018-07-18/2018-07-19/2018-07-20/2018-07-23/2018-07-24,2019-01-02
000325,2018-07-26,buy,17350,0.721,2018-07-18/2018-07-19/2018-07-20/2018-07-23/2018-07-24/2018-07-25,2019-01-16
000325,2018-09-21,sell,18850,0.726,2018-09-13/2018-09-14/2018-09-17/2018-09-18/2018-09-19/2018-09-20,2019-01-02
000325,2018-10-19,sell,17650,0.715,2018-10-16/2018-10-17/2018-10-18,2019-10-10
000325,2018-11-02,buy,16600,0.947,2018-10-26/2018-10-29/2018-10-30/2018-10-31/2018-11-01,2019-01-02
000325,2018-11-20,sell,17850,0.778,2018-11-09/2018-11-12/2018-11-13/2018-11-14/2018-11-15/2018-11-16/2018-11-19,2019-11-07
000325,2018-11-23,buy,18100,0.704,2018-11-16/2018-11-19/2018-11-20/2018-11-21/2018-11-22,2019-11-15
000325,2019-01-17,sell,18000,0.74,2019-01-11/2019-01-14/2019-01-15/2019-01-16,2019-01-21
000325,2019-02-01,sell,19050,0.843,2019-01-28/2019-01-29/2019-01-30/2019-01-31,2019-02-01
000325,2019-03-04,buy,18200,0.718,2019-02-25/2019-02-26/2019-02-27/2019-02-28,2019-03-04
000325,2019-03-05,buy,18200,0.728,2019-02-25/2019-02-26/2019-02-27/2019-02-28/2019-03-04,2019-03-05
000325,2019-03-06,buy,18500,0.805,2019-02-25/2019-02-26/2019-02-27/2019-02-28/2019-03-04/2019-03-05,2019-04-12
000325,2019-03-07,buy,18450,0.792,2019-02-22/2019-02-25/2019-02-26/2019-02-27/2019-02-28/2019-03-04/2019-03-05/2019-03-06,2019-03-12
000325,2019-03-18,sell,18450,0.807,2019-02-28/2019-03-04/2019-03-05/2019-03-06/2019-03-07/2019-03-08/2019-03-11/2019-03-12/2019-03-13/2019-03-14/2019-03-15,2019-03-18
000325,2019-04-10,buy,18500,0.722,2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29/2019-04-01/2019-04-02/2019-04-03/2019-04-04/2019-04-05/2019-04-08/2019-04-09,2019-04-10
000325,2019-04-15,buy,20400,0.708,2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29/2019-04-01/2019-04-02/2019-04-03/2019-04-04/2019-04-05/2019-04-08/2019-04-09/2019-04-10/2019-04-11/2019-04-12,2020-03-17
000325,2019-04-16,sell,22700,0.833,2019-04-11/2019-04-12/2019-04-15,2019-04-16
000325,2019-04-18,sell,20250,0.782,2019-04-15/2019-04-16/2019-04-17,2019-04-18
000325,2019-05-09,sell,20700,0.797,2019-05-02/2019-05-03/2019-05-07/2019-05-08,2020-04-14
000325,2019-05-28,buy,19850,0.815,2019-05-23/2019-05-24/2019-05-27,2019-05-28
000325,2019-05-29,buy,19000,0.723,2019-05-23/2019-05-24/2019-05-27/2019-05-28,2019-07-10
000325,2019-05-30,buy,19600,0.813,2019-05-23/2019-05-24/2019-05-27/2019-05-28/2019-05-29,2020-04-16
000325,2019-06-24,sell,19600,0.746,2019-05-30/2019-05-31/2019-06-03/2019-06-04/2019-06-05/2019-06-07/2019-06-10/2019-06-11/2019-06-12/2019-06-13/2019-06-14/2019-06-17/2019-06-18/2019-06-19/2019-06-20/2019-06-21,2020-03-03
000325,2019-06-25,sell,19750,0.725,2019-05-30/2019-05-31/2019-06-03/2019-06-04/2019-06-05/2019-06-07/2019-06-10/2019-06-11/2019-06-12/2019-06-13/2019-06-14/2019-06-17/2019-06-18/2019-06-19/2019-06-20/2019-06-21/2019-06-24,2019-08-23
000325,2019-07-08,buy,18900,0.732,2019-06-19/2019-06-20/2019-06-21/2019-06-24/2019-06-25/2019-06-26/2019-06-27/2019-06-28/2019-07-01/2019-07-02/2019-07-03/2019-07-04/2019-07-05,2019-07-08
