Ticker,Date,Label,Close,Probability,Range,Detect
000230,2018-02-01,sell,14377,0.888,2018-01-25/2018-01-26/2018-01-29/2018-01-30/2018-01-31,2019-01-02
000230,2018-03-19,sell,14103,0.764,2018-03-14/2018-03-15/2018-03-16,2019-02-22
000230,2018-03-20,sell,14149,0.828,2018-03-09/2018-03-12/2018-03-13/2018-03-14/2018-03-15/2018-03-16/2018-03-19,2019-02-11
000230,2018-04-11,buy,14057,0.746,2018-03-21/2018-03-22/2018-03-23/2018-03-26/2018-03-27/2018-03-28/2018-03-29/2018-03-30/2018-04-02/2018-04-03/2018-04-04/2018-04-05/2018-04-06/2018-04-09/2018-04-10,2019-01-18
000230,2018-04-12,buy,13784,0.808,2018-03-21/2018-03-22/2018-03-23/2018-03-26/2018-03-27/2018-03-28/2018-03-29/2018-03-30/2018-04-02/2018-04-03/2018-04-04/2018-04-05/2018-04-06/2018-04-09/2018-04-10/2018-04-11,2019-02-27
000230,2018-04-13,sell,13601,0.701,2018-04-09/2018-04-10/2018-04-11/2018-04-12,2019-01-11
000230,2018-07-06,buy,12597,0.706,2018-06-28/2018-06-29/2018-07-02/2018-07-03/2018-07-04/2018-07-05,2019-02-01
000230,2018-07-11,sell,13282,0.776,2018-07-06/2018-07-09/2018-07-10,2019-01-02
000230,2018-08-16,buy,12826,0.752,2018-08-10/2018-08-13/2018-08-14,2019-01-02
000230,2018-10-01,sell,13601,0.727,2018-09-21/2018-09-27/2018-09-28,2019-01-18
000230,2018-10-02,sell,13418,0.773,2018-09-21/2018-09-27/2018-09-28/2018-10-01,2019-01-09
000230,2018-10-04,sell,13144,0.716,2018-09-21/2018-09-27/2018-09-28/2018-10-01/2018-10-02,2019-08-07
000230,2018-11-01,buy,11639,0.89,2018-10-26/2018-10-29/2018-10-30/2018-10-31,2019-01-02
000230,2018-12-28,sell,12545,0.714,2018-12-19/2018-12-20/2018-12-21/2018-12-24/2018-12-26/2018-12-27,2019-01-11
000230,2019-01-15,buy,11830,0.829,2019-01-07/2019-01-08/2019-01-09/2019-01-10/2019-01-11/2019-01-14,2019-01-15
000230,2019-01-16,buy,11877,0.719,2019-01-07/2019-01-08/2019-01-09/2019-01-10/2019-01-11/2019-01-14/2019-01-15,2019-03-08
000230,2019-03-08,sell,12498,0.71,2019-03-05/2019-03-06/2019-03-07,2019-04-03
000230,2019-03-20,buy,12211,0.804,2019-03-13/2019-03-14/2019-03-15/2019-03-18/2019-03-19,2019-03-20
000230,2019-03-21,buy,12164,0.743,2019-03-13/2019-03-14/2019-03-15/2019-03-18/2019-03-19/2019-03-20,2019-03-21
000230,2019-03-25,buy,12021,0.773,2019-03-15/2019-03-18/2019-03-19/2019-03-20/2019-03-21/2019-03-22,2019-03-25
000230,2019-03-26,buy,11973,0.719,2019-03-18/2019-03-19/2019-03-20/2019-03-21/2019-03-22/2019-03-25,2019-03-26
000230,2019-03-27,buy,11973,0.719,2019-03-18/2019-03-19/2019-03-20/2019-03-21/2019-03-22/2019-03-25/2019-03-26,2019-03-27
000230,2019-03-29,buy,11830,0.729,2019-03-19/2019-03-20/2019-03-21/2019-03-22/2019-03-25/2019-03-26/2019-03-27/2019-03-28,2019-03-29
000230,2019-04-01,buy,11877,0.806,2019-03-21/2019-03-22/2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29,2019-04-01
000230,2019-04-03,buy,11830,0.76,2019-03-21/2019-03-22/2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29/2019-04-01/2019-04-02,2019-04-03
000230,2019-04-04,buy,11830,0.729,2019-03-21/2019-03-22/2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29/2019-04-01/2019-04-02/2019-04-03,2019-04-04
000230,2019-04-05,buy,11877,0.771,2019-03-21/2019-03-22/2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29/2019-04-01/2019-04-02/2019-04-03/2019-04-04,2019-04-05
000230,2019-04-16,buy,11782,0.79,2019-03-21/2019-03-22/2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29/2019-04-01/2019-04-02/2019-04-03/2019-04-04/2019-04-05/2019-04-08/2019-04-09/2019-04-10/2019-04-11/2019-04-12/2019-04-15,2019-04-16
000230,2019-04-17,buy,11925,0.779,2019-03-21/2019-03-22/2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29/2019-04-01/2019-04-02/2019-04-03/2019-04-04/2019-04-05/2019-04-08/2019-04-09/2019-04-10/2019-04-11/2019-04-12/2019-04-15/2019-04-16,2019-04-17
000230,2019-04-26,buy,12116,0.715,2019-03-22/2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29/2019-04-01/2019-04-02/2019-04-03/2019-04-04/2019-04-05/2019-04-08/2019-04-09/2019-04-10/2019-04-11/2019-04-12/2019-04-15/2019-04-16/2019-04-17/2019-04-18/2019-04-19/2019-04-22/2019-04-23/2019-04-24/2019-04-25,2019-04-30
000230,2019-04-29,buy,12164,0.757,2019-03-21/2019-03-22/2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29/2019-04-01/2019-04-02/2019-04-03/2019-04-04/2019-04-05/2019-04-08/2019-04-09/2019-04-10/2019-04-11/2019-04-12/2019-04-15/2019-04-16/2019-04-17/2019-04-18/2019-04-19/2019-04-22/2019-04-23/2019-04-24/2019-04-25/2019-04-26,2019-05-07
000230,2019-05-09,sell,13022,0.725,2019-05-03/2019-05-07/2019-05-08,2019-05-20
000230,2019-05-10,sell,12545,0.741,2019-05-03/2019-05-07/2019-05-08/2019-05-09,2019-07-09
000230,2019-05-13,sell,12498,0.764,2019-05-03/2019-05-07/2019-05-08/2019-05-09/2019-05-10,2019-08-30
000230,2019-06-05,buy,12211,0.76,2019-05-28/2019-05-29/2019-05-30/2019-05-31/2019-06-03/2019-06-04,2019-06-05
000230,2019-06-07,buy,12498,0.812,2019-05-24/2019-05-27/2019-05-28/2019-05-29/2019-05-30/2019-05-31/2019-06-03/2019-06-04/2019-06-05,2019-08-08
000230,2019-06-10,buy,12545,0.897,2019-05-24/2019-05-27/2019-05-28/2019-05-29/2019-05-30/2019-05-31/2019-06-03/2019-06-04/2019-06-05/2019-06-07,2020-04-22
000230,2019-06-18,sell,12402,0.75,2019-06-07/2019-06-10/2019-06-11/2019-06-12/2019-06-13/2019-06-14/2019-06-17,2019-06-18
000230,2019-06-19,sell,12450,0.887,2019-06-05/2019-06-07/2019-06-10/2019-06-11/2019-06-12/2019-06-13/2019-06-14/2019-06-17/2019-06-18,2019-08-07
000230,2019-07-01,buy,12498,0.739,2019-06-26/2019-06-27/2019-06-28,2019-07-01
000230,2019-07-09,sell,12354,0.756,2019-06-28/2019-07-01/2019-07-02/2019-07-03/2019-07-04/2019-07-05/2019-07-08,2020-03-30
000230,2019-07-12,buy,12068,0.722,2019-07-05/2019-07-08/2019-07-09/2019-07-10/2019-07-11,2019-07-12
000230,2019-07-26,sell,12021,0.732,2019-07-22/2019-07-23/2019-07-24/2019-07-25,2020-07-09
000230,2019-07-29,buy,11925,0.746,2019-07-05/2019-07-08/2019-07-09/2019-07-10/2019-07-11/2019-07-12/2019-07-15/2019-07-16/2019-07-17/2019-07-18/2019-07-19/2019-07-22/2019-07-23/2019-07-24/2019-07-25/2019-07-26,2019-07-29
000230,2019-08-09,buy,10637,0.793,2019-08-06/2019-08-07/2019-08-08,2019-08-09
000230,2019-08-13,sell,10303,0.712,2019-08-07/2019-08-08/2019-08-09/2019-08-12,2020-08-04
000230,2019-08-28,buy,10446,0.836,2019-08-23/2019-08-26/2019-08-27,2020-08-05
000230,2019-10-11,buy,10256,0.736,2019-09-24/2019-09-25/2019-09-26/2019-09-27/2019-09-30/2019-10-01/2019-10-02/2019-10-04/2019-10-07/2019-10-08/2019-10-10,2019-10-11
000230,2019-10-15,buy,10303,0.797,2019-09-25/2019-09-26/2019-09-27/2019-09-30/2019-10-01/2019-10-02/2019-10-04/2019-10-07/2019-10-08/2019-10-10/2019-10-11/2019-10-14,2020-06-15
000230,2019-10-16,buy,10303,0.817,2019-09-25/2019-09-26/2019-09-27/2019-09-30/2019-10-01/2019-10-02/2019-10-04/2019-10-07/2019-10-08/2019-10-10/2019-10-11/2019-10-14/2019-10-15,2020-03-11
000230,2019-10-17,buy,10256,0.725,2019-09-25/2019-09-26/2019-09-27/2019-09-30/2019-10-01/2019-10-02/2019-10-04/2019-10-07/2019-10-08/2019-10-10/2019-10-11/2019-10-14/2019-10-15/2019-10-16,2019-12-04
000230,2019-10-18,buy,10399,0.773,2019-09-25/2019-09-26/2019-09-27/2019-09-30/2019-10-01/2019-10-02/2019-10-04/2019-10-07/2019-10-08/2019-10-10/2019-10-11/2019-10-14/2019-10-15/2019-10-16/2019-10-17,2019-12-11
000230,2019-10-21,buy,10542,0.749,2019-09-25/2019-09-26/2019-09-27/2019-09-30/2019-10-01/2019-10-02/2019-10-04/2019-10-07/2019-10-08/2019-10-10/2019-10-11/2019-10-14/2019-10-15/2019-10-16/2019-10-17/2019-10-18,2019-12-03
000230,2019-11-08,sell,11210,0.934,2019-11-05/2019-11-06/2019-11-07,2019-12-16
000230,2019-11-11,sell,11067,0.846,2019-11-05/2019-11-06/2019-11-07/2019-11-08,2019-11-19
000230,2019-11-14,buy,10590,0.746,2019-11-07/2019-11-08/2019-11-11/2019-11-12/2019-11-13,2019-11-14
000230,2019-11-21,buy,10303,0.75,2019-11-12/2019-11-13/2019-11-14/2019-11-15/2019-11-18/2019-11-19/2019-11-20,2019-11-21
000230,2019-12-24,sell,10446,0.866,2019-12-12/2019-12-13/2019-12-16/2019-12-17/2019-12-18/2019-12-19/2019-12-20/2019-12-23,2019-12-26
000230,2019-12-26,buy,10542,0.831,2019-12-20/2019-12-23/2019-12-24,2019-12-26
000230,2019-12-27,buy,10542,0.714,2019-12-20/2019-12-23/2019-12-24/2019-12-26,2019-12-27
000230,2020-01-10,buy,10065,0.782,2020-01-07/2020-01-08/2020-01-09,2020-01-10
000230,2020-01-13,buy,10160,0.756,2020-01-07/2020-01-08/2020-01-09/2020-01-10,2020-01-17
000230,2020-01-14,buy,10160,0.796,2020-01-07/2020-01-08/2020-01-09/2020-01-10/2020-01-13,2020-01-15
000230,2020-01-30,buy,9531,0.709,2020-01-23/2020-01-28/2020-01-29,2020-01-30
000230,2020-02-03,buy,9349,0.773,2020-01-29/2020-01-30/2020-01-31,2020-02-03
000230,2020-02-04,buy,9540,0.802,2020-01-29/2020-01-30/2020-01-31/2020-02-03,2020-02-04
000230,2020-02-05,buy,9445,0.816,2020-01-29/2020-01-30/2020-01-31/2020-02-03/2020-02-04,2020-02-05
000230,2020-03-04,buy,8920,0.738,2020-02-27/2020-02-28/2020-03-02/2020-03-03,2020-03-05
000230,2020-03-17,buy,7690,0.802,2020-03-12/2020-03-13/2020-03-16,2020-03-17
