Ticker,Date,Label,Close,Probability,Range,Detect
000145,2018-01-05,sell,9680,0.712,2017-12-22/2017-12-26/2017-12-27/2017-12-28/2018-01-02/2018-01-03/2018-01-04,2019-01-09
000145,2018-02-01,sell,9630,0.748,2018-01-19/2018-01-22/2018-01-23/2018-01-24/2018-01-25/2018-01-26/2018-01-29/2018-01-30/2018-01-31,2019-01-18
000145,2018-02-22,sell,9330,0.816,2018-02-09/2018-02-12/2018-02-13/2018-02-14/2018-02-19/2018-02-20/2018-02-21,2019-02-25
000145,2018-02-23,sell,9260,0.713,2018-02-13/2018-02-14/2018-02-19/2018-02-20/2018-02-21/2018-02-22,2019-03-05
000145,2018-03-23,buy,9110,0.747,2018-03-16/2018-03-19/2018-03-20/2018-03-21/2018-03-22,2019-01-22
000145,2018-04-20,sell,8870,0.774,2018-04-17/2018-04-18/2018-04-19,2019-04-26
000145,2018-05-10,buy,8870,0.734,2018-04-26/2018-04-27/2018-04-30/2018-05-02/2018-05-03/2018-05-04/2018-05-08/2018-05-09,2019-01-04
000145,2018-05-28,sell,9330,0.878,2018-05-18/2018-05-21/2018-05-23/2018-05-24/2018-05-25,2019-01-02
000145,2018-08-14,sell,8510,0.717,2018-08-02/2018-08-03/2018-08-06/2018-08-08/2018-08-09/2018-08-10/2018-08-13,2019-01-21
000145,2018-08-16,sell,8500,0.739,2018-08-02/2018-08-03/2018-08-06/2018-08-08/2018-08-09/2018-08-10/2018-08-13/2018-08-14,2019-01-23
000145,2018-09-10,buy,8080,0.703,2018-09-03/2018-09-04/2018-09-05/2018-09-06/2018-09-07,2019-01-02
000145,2018-10-16,buy,7880,0.727,2018-10-10/2018-10-11/2018-10-12/2018-10-15,2019-07-10
000145,2018-11-02,buy,7840,0.706,2018-10-25/2018-10-26/2018-10-29/2018-10-30/2018-10-31,2019-03-18
000145,2018-11-06,buy,7790,0.74,2018-10-25/2018-10-26/2018-10-29/2018-10-30/2018-10-31/2018-11-02,2019-05-29
000145,2018-11-19,sell,8120,0.743,2018-11-14/2018-11-15/2018-11-16,2019-01-02
000145,2018-11-20,sell,8000,0.758,2018-11-14/2018-11-15/2018-11-16/2018-11-19,2019-01-08
000145,2019-01-07,buy,7940,0.706,2018-12-24/2018-12-26/2018-12-27/2018-12-28/2019-01-02/2019-01-03/2019-01-04,2019-02-01
000145,2019-01-16,sell,8040,0.759,2019-01-11/2019-01-14/2019-01-15,2019-01-22
000145,2019-04-19,sell,9470,0.769,2019-04-16/2019-04-17/2019-04-18,2019-04-19
000145,2019-04-26,sell,11200,0.716,2019-04-23/2019-04-24/2019-04-25,2019-05-15
000145,2019-06-04,buy,9800,0.737,2019-05-22/2019-05-23/2019-05-24/2019-05-27/2019-05-28/2019-05-29/2019-05-30/2019-05-31/2019-06-03,2019-06-10
000145,2019-07-01,sell,9820,0.765,2019-05-31/2019-06-03/2019-06-04/2019-06-05/2019-06-07/2019-06-10/2019-06-11/2019-06-12/2019-06-13/2019-06-14/2019-06-17/2019-06-18/2019-06-19/2019-06-20/2019-06-21/2019-06-24/2019-06-25/2019-06-26/2019-06-27/2019-06-28,2019-07-09
000145,2019-07-02,sell,9980,0.804,2019-05-31/2019-06-03/2019-06-04/2019-06-05/2019-06-07/2019-06-10/2019-06-11/2019-06-12/2019-06-13/2019-06-14/2019-06-17/2019-06-18/2019-06-19/2019-06-20/2019-06-21/2019-06-24/2019-06-25/2019-06-26/2019-06-27/2019-06-28/2019-07-01,2019-07-03
000145,2019-07-11,sell,16100,0.761,2019-07-08/2019-07-09/2019-07-10,2019-10-18
000145,2019-07-12,sell,15750,0.761,2019-07-08/2019-07-09/2019-07-10/2019-07-11,2019-07-17
000145,2019-07-24,buy,14300,0.728,2019-07-15/2019-07-16/2019-07-17/2019-07-18/2019-07-19/2019-07-22/2019-07-23,2019-07-24
000145,2019-07-26,buy,14400,0.715,2019-07-22/2019-07-23/2019-07-24/2019-07-25,2020-07-07
000145,2019-08-09,sell,31050,0.806,2019-08-02/2019-08-05/2019-08-07/2019-08-08,2019-08-09
000145,2019-08-29,sell,25900,0.708,2019-08-26/2019-08-27/2019-08-28,2020-08-07
000145,2019-09-06,sell,22300,0.758,2019-09-03/2019-09-04/2019-09-05,2020-08-28
000145,2019-09-19,sell,22000,0.784,2019-09-10/2019-09-11/2019-09-16/2019-09-17/2019-09-18,2020-09-04
000145,2019-09-27,buy,20250,0.72,2019-09-20/2019-09-23/2019-09-24/2019-09-25/2019-09-26,2019-09-27
000145,2019-10-01,buy,18700,0.775,2019-09-20/2019-09-23/2019-09-24/2019-09-25/2019-09-26/2019-09-27/2019-09-30,2019-10-01
000145,2019-10-16,buy,18050,0.798,2019-10-07/2019-10-08/2019-10-10/2019-10-11/2019-10-14/2019-10-15,2020-01-14
000145,2019-10-17,buy,17750,0.731,2019-10-07/2019-10-08/2019-10-10/2019-10-11/2019-10-14/2019-10-15/2019-10-16,2019-10-28
000145,2019-10-22,sell,18600,0.701,2019-10-17/2019-10-18/2019-10-21,2019-10-31
000145,2019-11-26,sell,17450,0.749,2019-11-20/2019-11-21/2019-11-22/2019-11-25,2020-01-13
000145,2019-12-13,buy,15650,0.763,2019-11-29/2019-12-02/2019-12-03/2019-12-04/2019-12-05/2019-12-06/2019-12-09/2019-12-10/2019-12-11/2019-12-12,2019-12-13
000145,2019-12-16,buy,15600,0.729,2019-11-29/2019-12-02/2019-12-03/2019-12-04/2019-12-05/2019-12-06/2019-12-09/2019-12-10/2019-12-11/2019-12-12/2019-12-13,2019-12-16
000145,2019-12-17,buy,15500,0.782,2019-11-29/2019-12-02/2019-12-03/2019-12-04/2019-12-05/2019-12-06/2019-12-09/2019-12-10/2019-12-11/2019-12-12/2019-12-13/2019-12-16,2019-12-17
000145,2019-12-20,buy,16100,0.76,2019-11-29/2019-12-02/2019-12-03/2019-12-04/2019-12-05/2019-12-06/2019-12-09/2019-12-10/2019-12-11/2019-12-12/2019-12-13/2019-12-16/2019-12-17/2019-12-18/2019-12-19,2019-12-20
000145,2019-12-23,sell,15450,0.751,2019-12-18/2019-12-19/2019-12-20,2020-08-12
000145,2019-12-24,sell,15500,0.735,2019-12-18/2019-12-19/2019-12-20/2019-12-23,2020-11-09
000145,2020-01-10,buy,15300,0.729,2020-01-03/2020-01-06/2020-01-07/2020-01-08/2020-01-09,2020-01-28
000145,2020-02-04,buy,14550,0.749,2020-01-23/2020-01-28/2020-01-29/2020-01-30/2020-01-31/2020-02-03,2020-02-04
000145,2020-02-05,buy,14700,0.703,2020-01-23/2020-01-28/2020-01-29/2020-01-30/2020-01-31/2020-02-03/2020-02-04,2020-02-05
000145,2020-02-10,buy,15000,0.756,2020-01-23/2020-01-28/2020-01-29/2020-01-30/2020-01-31/2020-02-03/2020-02-04/2020-02-05/2020-02-06/2020-02-07,2020-02-13
000145,2020-02-14,sell,16050,0.742,2020-02-11/2020-02-12/2020-02-13,2020-02-17
000145,2020-03-17,buy,9500,0.785,2020-03-12/2020-03-13/2020-03-16,2020-03-17
000145,2020-03-25,buy,9100,0.706,2020-03-20/2020-03-23/2020-03-24,2020-04-09
000145,2020-05-04,buy,13500,0.707,2020-04-22/2020-04-23/2020-04-24/2020-04-27/2020-04-28/2020-04-29,2021-04-20
000145,2020-06-02,buy,14700,0.779,2020-05-20/2020-05-21/2020-05-22/2020-05-25/2020-05-26/2020-05-27/2020-05-28/2020-05-29/2020-06-01,2020-08-05
000145,2020-06-22,sell,19700,0.708,2020-06-17/2020-06-18/2020-06-19,2020-06-22
000145,2020-07-29,sell,19700,0.86,2020-07-24/2020-07-27/2020-07-28,2020-08-07
000145,2020-08-28,buy,16300,0.747,2020-08-19/2020-08-20/2020-08-21/2020-08-24/2020-08-25/2020-08-26/2020-08-27,2020-08-28
000145,2020-08-31,buy,16300,0.717,2020-08-19/2020-08-20/2020-08-21/2020-08-24/2020-08-25/2020-08-26/2020-08-27/2020-08-28,2020-08-31
000145,2020-09-02,buy,16900,0.817,2020-08-19/2020-08-20/2020-08-21/2020-08-24/2020-08-25/2020-08-26/2020-08-27/2020-08-28/2020-08-31/2020-09-01,2020-09-04
000145,2020-09-03,buy,17150,0.765,2020-08-19/2020-08-20/2020-08-21/2020-08-24/2020-08-25/2020-08-26/2020-08-27/2020-08-28/2020-08-31/2020-09-01/2020-09-02,2020-09-03
000145,2020-09-18,sell,17000,0.759,2020-09-01/2020-09-02/2020-09-03/2020-09-04/2020-09-07/2020-09-08/2020-09-09/2020-09-10/2020-09-11/2020-09-14/2020-09-15/2020-09-16/2020-09-17,2020-11-17
000145,2020-09-29,buy,16200,0.702,2020-09-23/2020-09-24/2020-09-25/2020-09-28,2020-10-05
000145,2020-10-29,buy,15250,0.705,2020-10-26/2020-10-27/2020-10-28,2021-08-27
000145,2020-11-26,sell,15400,0.755,2020-11-18/2020-11-19/2020-11-20/2020-11-23/2020-11-24/2020-11-25,2020-12-04
000145,2020-11-27,sell,15300,0.803,2020-11-19/2020-11-20/2020-11-23/2020-11-24/2020-11-25/2020-11-26,2020-12-15
000145,2020-11-30,sell,15300,0.789,2020-11-18/2020-11-19/2020-11-20/2020-11-23/2020-11-24/2020-11-25/2020-11-26/2020-11-27,2020-12-14
000145,2020-12-01,sell,15350,0.845,2020-11-19/2020-11-20/2020-11-23/2020-11-24/2020-11-25/2020-11-26/2020-11-27/2020-11-30,2021-04-26
000145,2021-01-13,buy,14450,0.701,2020-12-22/2020-12-23/2020-12-24/2020-12-28/2020-12-29/2020-12-30/2021-01-04/2021-01-05/2021-01-06/2021-01-07/2021-01-08/2021-01-11/2021-01-12,2021-04-01
