Ticker,Date,Label,Close,Probability,Range,Detect
000540,2018-01-12,buy,5800,0.728,2018-01-09/2018-01-10/2018-01-11,2019-01-10
000540,2018-02-22,sell,6260,0.799,2018-02-14/2018-02-19/2018-02-20/2018-02-21,2019-02-11
000540,2018-02-23,sell,6250,0.758,2018-02-14/2018-02-19/2018-02-20/2018-02-21/2018-02-22,2019-02-08
000540,2018-03-16,sell,6480,0.746,2018-03-13/2018-03-14/2018-03-15,2019-02-25
000540,2018-04-10,buy,6260,0.788,2018-03-30/2018-04-02/2018-04-03/2018-04-04/2018-04-05/2018-04-06/2018-04-09,2019-01-16
000540,2018-04-12,sell,5990,0.732,2018-04-09/2018-04-10/2018-04-11,2019-04-04
000540,2018-05-10,buy,5990,0.703,2018-05-02/2018-05-03/2018-05-04/2018-05-08/2018-05-09,2019-01-03
000540,2018-05-18,buy,6170,0.749,2018-05-14/2018-05-15/2018-05-16/2018-05-17,2019-05-14
000540,2018-07-03,sell,6280,0.774,2018-06-04/2018-06-05/2018-06-07/2018-06-08/2018-06-11/2018-06-12/2018-06-14/2018-06-15/2018-06-18/2018-06-19/2018-06-20/2018-06-21/2018-06-22/2018-06-25/2018-06-26/2018-06-27/2018-06-28/2018-06-29/2018-07-02,2019-01-02
000540,2018-08-02,buy,6310,0.743,2018-07-11/2018-07-12/2018-07-13/2018-07-16/2018-07-17/2018-07-18/2018-07-19/2018-07-20/2018-07-23/2018-07-24/2018-07-25/2018-07-26/2018-07-27/2018-07-30/2018-07-31/2018-08-01,2019-01-08
000540,2018-08-08,sell,6400,0.715,2018-07-31/2018-08-01/2018-08-02/2018-08-03/2018-08-06/2018-08-07,2019-01-10
000540,2018-08-28,buy,6040,0.702,2018-08-21/2018-08-22/2018-08-23/2018-08-24/2018-08-27,2019-03-14
000540,2018-09-18,sell,5850,0.737,2018-09-04/2018-09-05/2018-09-06/2018-09-07/2018-09-10/2018-09-11/2018-09-12/2018-09-13/2018-09-14/2018-09-17,2019-09-04
000540,2018-10-11,sell,5100,0.743,2018-10-02/2018-10-04/2018-10-05/2018-10-08/2018-10-10,2019-10-01
000540,2018-10-31,buy,4825,0.789,2018-10-26/2018-10-29/2018-10-30,2019-01-28
000540,2018-11-01,buy,5150,0.821,2018-10-26/2018-10-29/2018-10-30/2018-10-31,2019-08-27
000540,2018-11-23,sell,4995,0.712,2018-11-19/2018-11-20/2018-11-21/2018-11-22,2019-11-13
000540,2019-01-02,buy,4795,0.858,2018-12-19/2018-12-20/2018-12-21/2018-12-24/2018-12-26/2018-12-27/2018-12-28,2019-01-02
000540,2019-01-11,sell,4880,0.854,2019-01-04/2019-01-07/2019-01-08/2019-01-09/2019-01-10,2019-02-28
000540,2019-02-01,buy,4950,0.727,2019-01-21/2019-01-22/2019-01-23/2019-01-24/2019-01-25/2019-01-28/2019-01-29/2019-01-30/2019-01-31,2019-04-08
000540,2019-03-14,sell,5050,0.764,2019-03-07/2019-03-08/2019-03-11/2019-03-12/2019-03-13,2019-03-14
000540,2019-03-22,buy,4915,0.761,2019-03-14/2019-03-15/2019-03-18/2019-03-19/2019-03-20/2019-03-21,2019-03-22
000540,2019-03-26,buy,4850,0.815,2019-03-15/2019-03-18/2019-03-19/2019-03-20/2019-03-21/2019-03-22/2019-03-25,2019-03-26
