Ticker,Date,Label,Close,Probability,Range,Detect
000725,2018-05-02,buy,175569,0.753,2018-04-26/2018-04-27/2018-04-30,2019-05-02
000725,2018-05-16,sell,243019,0.831,2018-05-04/2018-05-08/2018-05-10/2018-05-11/2018-05-14/2018-05-15,2019-01-02
000725,2018-06-14,sell,214749,0.735,2018-06-08/2018-06-11/2018-06-12,2019-06-03
000725,2018-06-15,sell,231116,0.733,2018-06-08/2018-06-11/2018-06-12/2018-06-14,2019-06-10
000725,2018-07-12,buy,174081,0.719,2018-07-06/2018-07-09/2018-07-10/2018-07-11,2019-02-07
000725,2018-07-25,buy,197887,0.736,2018-07-18/2018-07-19/2018-07-20/2018-07-23/2018-07-24,2019-07-11
000725,2018-08-14,sell,244011,0.827,2018-08-09/2018-08-10/2018-08-13,2019-01-02
000725,2018-09-19,sell,223677,0.759,2018-09-06/2018-09-07/2018-09-10/2018-09-11/2018-09-12/2018-09-13/2018-09-14/2018-09-17/2018-09-18,2019-02-27
000725,2018-09-20,sell,223677,0.714,2018-09-06/2018-09-07/2018-09-10/2018-09-11/2018-09-12/2018-09-13/2018-09-14/2018-09-17/2018-09-18/2018-09-19,2019-02-28
000725,2018-10-31,buy,146803,0.877,2018-10-25/2018-10-26/2018-10-29/2018-10-30,2019-01-02
000725,2018-11-16,buy,156722,0.735,2018-11-12/2018-11-13/2018-11-14/2018-11-15,2019-11-11
000725,2018-12-07,sell,182512,0.72,2018-11-28/2018-11-29/2018-11-30/2018-12-03/2018-12-04/2018-12-05/2018-12-06,2019-01-04
000725,2018-12-10,sell,175073,0.733,2018-11-28/2018-11-29/2018-11-30/2018-12-03/2018-12-04/2018-12-05/2018-12-06/2018-12-07,2019-01-10
000725,2019-01-04,buy,157714,0.783,2018-12-14/2018-12-17/2018-12-18/2018-12-19/2018-12-20/2018-12-21/2018-12-24/2018-12-26/2018-12-27/2018-12-28/2019-01-02/2019-01-03,2019-06-11
000725,2019-01-07,buy,158706,0.722,2018-12-14/2018-12-17/2018-12-18/2018-12-19/2018-12-20/2018-12-21/2018-12-24/2018-12-26/2018-12-27/2018-12-28/2019-01-02/2019-01-03/2019-01-04,2019-05-22
000725,2019-01-08,buy,162674,0.772,2018-12-14/2018-12-17/2018-12-18/2018-12-19/2018-12-20/2018-12-21/2018-12-24/2018-12-26/2018-12-27/2018-12-28/2019-01-02/2019-01-03/2019-01-04/2019-01-07,2019-02-22
000725,2019-01-09,buy,162674,0.775,2018-12-13/2018-12-14/2018-12-17/2018-12-18/2018-12-19/2018-12-20/2018-12-21/2018-12-24/2018-12-26/2018-12-27/2018-12-28/2019-01-02/2019-01-03/2019-01-04/2019-01-07/2019-01-08,2019-02-01
000725,2019-02-13,sell,215741,0.707,2019-01-31/2019-02-01/2019-02-07/2019-02-08/2019-02-11/2019-02-12,2019-02-13
000725,2019-02-20,sell,243019,0.858,2019-02-15/2019-02-18/2019-02-19,2019-02-20
000725,2019-02-26,sell,251450,0.76,2019-02-19/2019-02-20/2019-02-21/2019-02-22/2019-02-25,2020-02-17
000725,2019-03-08,buy,164658,0.756,2019-02-28/2019-03-04/2019-03-05/2019-03-06/2019-03-07,2019-03-08
000725,2019-03-13,buy,172593,0.732,2019-03-06/2019-03-07/2019-03-08/2019-03-11/2019-03-12,2019-04-02
000725,2019-04-15,sell,181024,0.745,2019-03-28/2019-03-29/2019-04-01/2019-04-02/2019-04-03/2019-04-04/2019-04-05/2019-04-08/2019-04-09/2019-04-10/2019-04-11/2019-04-12,2019-05-27
