Ticker,Date,Label,Close,Probability,Range,Detect
000210,2018-03-12,buy,67319,0.781,2018-02-28/2018-03-02/2018-03-05/2018-03-06/2018-03-07/2018-03-08/2018-03-09,2019-02-18
000210,2018-03-28,buy,67590,0.758,2018-03-21/2018-03-22/2018-03-23/2018-03-26/2018-03-27,2019-03-15
000210,2018-04-10,buy,68584,0.81,2018-04-02/2018-04-03/2018-04-04/2018-04-05/2018-04-06/2018-04-09,2019-03-29
000210,2018-05-30,sell,76084,0.713,2018-05-25/2018-05-28/2018-05-29,2019-01-02
000210,2018-06-14,sell,72380,0.9,2018-06-04/2018-06-05/2018-06-07/2018-06-08/2018-06-11/2018-06-12,2019-05-31
000210,2018-06-28,sell,68765,0.764,2018-06-19/2018-06-20/2018-06-21/2018-06-22/2018-06-25/2018-06-26/2018-06-27,2019-06-19
000210,2018-07-09,buy,67952,0.746,2018-06-29/2018-07-02/2018-07-03/2018-07-04/2018-07-05/2018-07-06,2019-01-14
000210,2018-08-13,buy,70482,0.712,2018-08-07/2018-08-08/2018-08-09/2018-08-10,2019-07-31
000210,2018-10-11,sell,71928,0.78,2018-10-01/2018-10-02/2018-10-04/2018-10-05/2018-10-08/2018-10-10,2019-01-07
000210,2018-10-15,buy,73735,0.709,2018-10-10/2018-10-11/2018-10-12,2019-01-04
000210,2018-11-05,buy,69940,0.853,2018-10-25/2018-10-26/2018-10-29/2018-10-30/2018-10-31/2018-11-01/2018-11-02,2019-01-02
000210,2018-11-27,buy,81687,0.725,2018-11-22/2018-11-23/2018-11-26,2019-11-18
000210,2018-11-29,buy,85934,0.746,2018-11-26/2018-11-27/2018-11-28,2019-11-25
000210,2018-12-24,sell,91265,0.873,2018-12-12/2018-12-13/2018-12-14/2018-12-17/2018-12-18/2018-12-19/2018-12-20/2018-12-21,2019-01-02
000210,2018-12-26,sell,90813,0.858,2018-12-12/2018-12-13/2018-12-14/2018-12-17/2018-12-18/2018-12-19/2018-12-20/2018-12-21/2018-12-24,2019-03-13
000210,2019-01-17,buy,90813,0.706,2019-01-09/2019-01-10/2019-01-11/2019-01-14/2019-01-15/2019-01-16,2020-01-07
000210,2019-02-07,sell,92169,0.794,2019-01-29/2019-01-30/2019-01-31/2019-02-01,2019-02-18
000210,2019-02-11,buy,89006,0.788,2019-01-31/2019-02-01/2019-02-07/2019-02-08,2019-02-11
000210,2019-02-19,buy,87922,0.787,2019-02-07/2019-02-08/2019-02-11/2019-02-12/2019-02-13/2019-02-14/2019-02-15/2019-02-18,2019-02-19
000210,2019-02-20,buy,88102,0.815,2019-02-07/2019-02-08/2019-02-11/2019-02-12/2019-02-13/2019-02-14/2019-02-15/2019-02-18/2019-02-19,2019-02-20
000210,2019-02-21,buy,87831,0.834,2019-02-07/2019-02-08/2019-02-11/2019-02-12/2019-02-13/2019-02-14/2019-02-15/2019-02-18/2019-02-19/2019-02-20,2019-02-21
000210,2019-02-22,buy,88102,0.834,2019-02-07/2019-02-08/2019-02-11/2019-02-12/2019-02-13/2019-02-14/2019-02-15/2019-02-18/2019-02-19/2019-02-20/2019-02-21,2019-02-22
000210,2019-02-26,buy,87380,0.861,2019-02-07/2019-02-08/2019-02-11/2019-02-12/2019-02-13/2019-02-14/2019-02-15/2019-02-18/2019-02-19/2019-02-20/2019-02-21/2019-02-22/2019-02-25,2019-02-26
000210,2019-02-27,buy,84488,0.825,2019-02-07/2019-02-08/2019-02-11/2019-02-12/2019-02-13/2019-02-14/2019-02-15/2019-02-18/2019-02-19/2019-02-20/2019-02-21/2019-02-22/2019-02-25/2019-02-26,2019-02-27
000210,2019-03-05,buy,84669,0.732,2019-02-25/2019-02-26/2019-02-27/2019-02-28/2019-03-04,2019-03-05
000210,2019-03-07,buy,85030,0.762,2019-02-26/2019-02-27/2019-02-28/2019-03-04/2019-03-05/2019-03-06,2019-03-07
000210,2019-03-12,buy,83313,0.714,2019-03-06/2019-03-07/2019-03-08/2019-03-11,2019-03-19
000210,2019-03-28,buy,84127,0.799,2019-03-20/2019-03-21/2019-03-22/2019-03-25/2019-03-26/2019-03-27,2020-03-11
000210,2019-04-22,buy,84398,0.835,2019-04-17/2019-04-18/2019-04-19,2019-04-22
000210,2019-04-23,buy,84940,0.843,2019-04-17/2019-04-18/2019-04-19/2019-04-22,2019-04-23
000210,2019-04-25,buy,84488,0.869,2019-04-17/2019-04-18/2019-04-19/2019-04-22/2019-04-23/2019-04-24,2019-04-25
000210,2019-04-29,buy,87651,0.831,2019-04-17/2019-04-18/2019-04-19/2019-04-22/2019-04-23/2019-04-24/2019-04-25/2019-04-26,2019-06-25
000210,2019-04-30,buy,87470,0.793,2019-04-17/2019-04-18/2019-04-19/2019-04-22/2019-04-23/2019-04-24/2019-04-25/2019-04-26/2019-04-29,2019-06-24
000210,2019-05-14,buy,86566,0.776,2019-05-08/2019-05-09/2019-05-10/2019-05-13,2019-05-14
000210,2019-05-16,buy,91717,0.816,2019-05-08/2019-05-09/2019-05-10/2019-05-13/2019-05-14/2019-05-15,2020-04-24
