Ticker,Date,Label,Close,Probability,Range,Detect
000320,2018-02-06,sell,16200,0.843,2018-01-24/2018-01-25/2018-01-26/2018-01-29/2018-01-30/2018-01-31/2018-02-01/2018-02-02/2018-02-05,2019-01-02
000320,2018-03-28,buy,14800,0.722,2018-03-19/2018-03-20/2018-03-21/2018-03-22/2018-03-23/2018-03-26/2018-03-27,2019-02-08
000320,2018-05-17,sell,16050,0.858,2018-05-09/2018-05-10/2018-05-11/2018-05-14/2018-05-15/2018-05-16,2019-01-02
000320,2018-05-24,sell,15200,0.718,2018-05-17/2018-05-18/2018-05-21/2018-05-23,2019-05-21
000320,2018-06-01,sell,14800,0.746,2018-05-24/2018-05-25/2018-05-28/2018-05-29/2018-05-30/2018-05-31,2019-05-27
000320,2018-06-14,sell,14500,0.72,2018-05-31/2018-06-01/2018-06-04/2018-06-05/2018-06-07/2018-06-08/2018-06-11/2018-06-12,2019-06-03
000320,2018-07-27,buy,14000,0.801,2018-07-02/2018-07-03/2018-07-04/2018-07-05/2018-07-06/2018-07-09/2018-07-10/2018-07-11/2018-07-12/2018-07-13/2018-07-16/2018-07-17/2018-07-18/2018-07-19/2018-07-20/2018-07-23/2018-07-24/2018-07-25/2018-07-26,2019-01-28
000320,2018-08-14,sell,14000,0.764,2018-07-31/2018-08-01/2018-08-02/2018-08-03/2018-08-06/2018-08-07/2018-08-08/2018-08-09/2018-08-10/2018-08-13,2019-01-15
000320,2018-08-29,sell,14000,0.825,2018-08-21/2018-08-22/2018-08-23/2018-08-24/2018-08-27/2018-08-28,2019-08-13
000320,2018-09-14,buy,13800,0.709,2018-08-30/2018-08-31/2018-09-03/2018-09-04/2018-09-05/2018-09-06/2018-09-07/2018-09-10/2018-09-11/2018-09-12/2018-09-13,2019-08-27
000320,2018-10-11,sell,12950,0.736,2018-09-12/2018-09-13/2018-09-14/2018-09-17/2018-09-18/2018-09-19/2018-09-20/2018-09-21/2018-09-27/2018-09-28/2018-10-01/2018-10-02/2018-10-04/2018-10-05/2018-10-08/2018-10-10,2019-06-25
000320,2018-11-01,buy,11950,0.725,2018-10-24/2018-10-25/2018-10-26/2018-10-29/2018-10-30/2018-10-31,2019-01-10
