Ticker,Date,Label,Close,Probability,Range,Detect
000100,2018-02-02,sell,38171,0.79,2018-01-26/2018-01-29/2018-01-30/2018-01-31/2018-02-01,2019-01-02
000100,2018-02-22,sell,35571,0.796,2018-02-13/2018-02-14/2018-02-19/2018-02-20/2018-02-21,2019-02-11
000100,2018-03-09,buy,35740,0.74,2018-02-27/2018-02-28/2018-03-02/2018-03-05/2018-03-06/2018-03-07/2018-03-08,2019-01-03
000100,2018-03-27,buy,36326,0.773,2018-03-22/2018-03-23/2018-03-26,2019-03-13
000100,2018-04-13,sell,42535,0.874,2018-04-06/2018-04-09/2018-04-10/2018-04-11/2018-04-12,2019-01-02
000100,2018-05-10,buy,38171,0.72,2018-04-27/2018-04-30/2018-05-02/2018-05-03/2018-05-04/2018-05-08/2018-05-09,2019-01-03
000100,2018-06-05,sell,37920,0.796,2018-05-18/2018-05-21/2018-05-23/2018-05-24/2018-05-25/2018-05-28/2018-05-29/2018-05-30/2018-05-31/2018-06-01/2018-06-04,2019-02-07
000100,2018-07-05,buy,36326,0.868,2018-06-18/2018-06-19/2018-06-20/2018-06-21/2018-06-22/2018-06-25/2018-06-26/2018-06-27/2018-06-28/2018-06-29/2018-07-02/2018-07-03/2018-07-04,2019-01-02
000100,2018-07-23,buy,36326,0.746,2018-07-17/2018-07-18/2018-07-19/2018-07-20,2019-07-04
000100,2018-08-20,buy,38004,0.789,2018-08-10/2018-08-13/2018-08-14/2018-08-16/2018-08-17,2019-01-03
000100,2018-10-02,sell,39095,0.846,2018-08-30/2018-08-31/2018-09-03/2018-09-04/2018-09-05/2018-09-06/2018-09-07/2018-09-10/2018-09-11/2018-09-12/2018-09-13/2018-09-14/2018-09-17/2018-09-18/2018-09-19/2018-09-20/2018-09-21/2018-09-27/2018-09-28/2018-10-01,2019-01-02
000100,2018-10-04,sell,39095,0.873,2018-08-30/2018-08-31/2018-09-03/2018-09-04/2018-09-05/2018-09-06/2018-09-07/2018-09-10/2018-09-11/2018-09-12/2018-09-13/2018-09-14/2018-09-17/2018-09-18/2018-09-19/2018-09-20/2018-09-21/2018-09-27/2018-09-28/2018-10-01/2018-10-02,2019-01-04
000100,2018-11-05,buy,38760,0.84,2018-10-30/2018-10-31/2018-11-01/2018-11-02,2019-01-02
000100,2018-11-21,sell,40940,0.706,2018-11-16/2018-11-19/2018-11-20,2019-01-28
000100,2018-11-22,sell,40018,0.811,2018-11-16/2018-11-19/2018-11-20/2018-11-21,2019-01-02
000100,2018-12-19,buy,36410,0.708,2018-12-10/2018-12-11/2018-12-12/2018-12-13/2018-12-14/2018-12-17/2018-12-18,2019-11-07
000100,2018-12-20,buy,36242,0.719,2018-12-05/2018-12-06/2018-12-07/2018-12-10/2018-12-11/2018-12-12/2018-12-13/2018-12-14/2018-12-17/2018-12-18/2018-12-19,2019-01-28
000100,2019-01-03,buy,36033,0.702,2018-12-26/2018-12-27/2018-12-28/2019-01-02,2019-12-23
000100,2019-01-23,buy,41118,0.792,2019-01-16/2019-01-17/2019-01-18/2019-01-21/2019-01-22,2020-01-15
000100,2019-01-31,buy,41732,0.747,2019-01-24/2019-01-25/2019-01-28/2019-01-29/2019-01-30,2020-01-22
000100,2019-02-11,buy,42783,0.727,2019-02-01/2019-02-07/2019-02-08,2020-01-31
000100,2019-02-19,sell,43047,0.713,2019-02-08/2019-02-11/2019-02-12/2019-02-13/2019-02-14/2019-02-15/2019-02-18,2019-02-20
000100,2019-03-05,sell,46116,0.762,2019-02-27/2019-02-28/2019-03-04,2019-03-06
000100,2019-03-07,sell,44274,0.774,2019-02-27/2019-02-28/2019-03-04/2019-03-05/2019-03-06,2019-03-07
000100,2019-03-19,buy,43047,0.769,2019-03-13/2019-03-14/2019-03-15/2019-03-18,2019-03-19
000100,2019-03-26,buy,41732,0.705,2019-03-20/2019-03-21/2019-03-22/2019-03-25,2019-03-26
000100,2019-04-01,buy,42345,0.75,2019-03-20/2019-03-21/2019-03-22/2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29,2019-04-22
000100,2019-04-02,buy,42170,0.777,2019-03-20/2019-03-21/2019-03-22/2019-03-25/2019-03-26/2019-03-27/2019-03-28/2019-03-29/2019-04-01,2019-08-07
000100,2019-05-08,buy,41732,0.725,2019-04-24/2019-04-25/2019-04-26/2019-04-29/2019-04-30/2019-05-02/2019-05-03/2019-05-07,2019-05-08
000100,2019-05-09,buy,40417,0.797,2019-05-03/2019-05-07/2019-05-08,2019-05-09
000100,2019-05-13,buy,40417,0.764,2019-05-08/2019-05-09/2019-05-10,2019-05-13
