Ticker,Date,Label,Close,Probability,Range,Detect
000157,2018-02-01,sell,56566,0.748,2018-01-26/2018-01-29/2018-01-30/2018-01-31,2019-01-08
000157,2018-02-09,buy,56330,0.733,2018-02-05/2018-02-06/2018-02-07/2018-02-08,2019-01-23
000157,2018-03-05,sell,56016,0.797,2018-02-12/2018-02-13/2018-02-14/2018-02-19/2018-02-20/2018-02-21/2018-02-22/2018-02-23/2018-02-26/2018-02-27/2018-02-28/2018-03-02,2019-02-07
000157,2018-04-10,buy,55701,0.79,2018-04-03/2018-04-04/2018-04-05/2018-04-06/2018-04-09,2019-03-25
000157,2018-04-12,buy,56173,0.737,2018-04-03/2018-04-04/2018-04-05/2018-04-06/2018-04-09/2018-04-10/2018-04-11,2019-03-20
000157,2018-04-13,buy,56330,0.715,2018-04-02/2018-04-03/2018-04-04/2018-04-05/2018-04-06/2018-04-09/2018-04-10/2018-04-11/2018-04-12,2019-01-02
000157,2018-04-30,buy,58137,0.728,2018-04-17/2018-04-18/2018-04-19/2018-04-20/2018-04-23/2018-04-24/2018-04-25/2018-04-26/2018-04-27,2019-04-22
000157,2018-05-18,sell,61279,0.704,2018-05-14/2018-05-15/2018-05-16/2018-05-17,2019-01-18
000157,2018-06-20,sell,60258,0.706,2018-05-31/2018-06-01/2018-06-04/2018-06-05/2018-06-07/2018-06-08/2018-06-11/2018-06-12/2018-06-14/2018-06-15/2018-06-18/2018-06-19,2019-06-04
000157,2018-07-30,buy,58058,0.76,2018-07-23/2018-07-24/2018-07-25/2018-07-26/2018-07-27,2019-07-16
000157,2018-10-10,sell,62694,0.801,2018-09-17/2018-09-18/2018-09-19/2018-09-20/2018-09-21/2018-09-27/2018-09-28/2018-10-01/2018-10-02/2018-10-04/2018-10-05/2018-10-08,2019-01-03
000157,2018-11-05,buy,59315,0.83,2018-10-24/2018-10-25/2018-10-26/2018-10-29/2018-10-30/2018-10-31/2018-11-01/2018-11-02,2019-01-02
000157,2018-11-06,buy,60101,0.86,2018-10-24/2018-10-25/2018-10-26/2018-10-29/2018-10-30/2018-10-31/2018-11-01/2018-11-02/2018-11-05,2019-01-22
000157,2018-11-07,buy,60494,0.739,2018-10-24/2018-10-25/2018-10-26/2018-10-29/2018-10-30/2018-10-31/2018-11-01/2018-11-02/2018-11-05/2018-11-06,2019-02-08
000157,2018-11-29,sell,61829,0.706,2018-11-21/2018-11-22/2018-11-23/2018-11-26/2018-11-27/2018-11-28,2019-04-24
000157,2018-11-30,sell,62615,0.71,2018-11-09/2018-11-12/2018-11-13/2018-11-14/2018-11-15/2018-11-16/2018-11-19/2018-11-20/2018-11-21/2018-11-22/2018-11-23/2018-11-26/2018-11-27/2018-11-28/2018-11-29,2019-01-17
000157,2018-12-07,sell,61908,0.701,2018-11-30/2018-12-03/2018-12-04/2018-12-05/2018-12-06,2019-12-16
000157,2019-01-07,buy,57351,0.796,2019-01-02/2019-01-03/2019-01-04,2019-01-11
000157,2019-01-08,buy,58923,0.724,2019-01-02/2019-01-03/2019-01-04/2019-01-07,2019-01-08
000157,2019-01-29,sell,59315,0.754,2019-01-23/2019-01-24/2019-01-25/2019-01-28,2019-03-28
000157,2019-02-12,buy,58608,0.768,2019-02-07/2019-02-08/2019-02-11,2019-02-12
000157,2019-02-14,buy,57037,0.722,2019-02-07/2019-02-08/2019-02-11/2019-02-12/2019-02-13,2019-02-14
