Ticker,Date,Label,Close,Probability,Range,Detect
000520,2018-03-07,buy,9660,0.74,2018-02-26/2018-02-27/2018-02-28/2018-03-02/2018-03-05/2018-03-06,2019-02-25
000520,2018-03-21,buy,10401,0.75,2018-03-12/2018-03-13/2018-03-14/2018-03-15/2018-03-16/2018-03-19/2018-03-20,2019-03-13
000520,2018-04-13,sell,23337,0.904,2018-04-09/2018-04-10/2018-04-11/2018-04-12,2019-01-02
000520,2018-04-19,sell,17407,0.715,2018-04-13/2018-04-16/2018-04-17/2018-04-18,2019-04-17
000520,2018-06-18,sell,12450,0.756,2018-06-12/2018-06-14/2018-06-15,2019-02-22
000520,2018-06-27,buy,11500,0.715,2018-06-18/2018-06-19/2018-06-20/2018-06-21/2018-06-22/2018-06-25/2018-06-26,2019-01-03
000520,2018-07-09,sell,13300,0.836,2018-07-04/2018-07-05/2018-07-06,2019-06-17
000520,2018-07-26,buy,11000,0.703,2018-07-20/2018-07-23/2018-07-24/2018-07-25,2019-01-04
000520,2018-08-20,buy,11275,0.728,2018-08-10/2018-08-13/2018-08-14/2018-08-16/2018-08-17,2019-01-02
000520,2018-09-14,buy,14050,0.716,2018-09-05/2018-09-06/2018-09-07/2018-09-10/2018-09-11/2018-09-12/2018-09-13,2019-02-11
000520,2018-10-04,sell,16450,0.9,2018-09-21/2018-09-27/2018-09-28/2018-10-01/2018-10-02,2019-01-02
000520,2018-10-24,sell,13400,0.736,2018-10-18/2018-10-19/2018-10-22/2018-10-23,2019-01-02
000520,2018-10-31,buy,10975,0.785,2018-10-26/2018-10-29/2018-10-30,2019-01-28
000520,2018-11-01,buy,11650,0.71,2018-10-26/2018-10-29/2018-10-30/2018-10-31,2019-01-24
000520,2018-11-23,sell,12200,0.75,2018-11-16/2018-11-19/2018-11-20/2018-11-21/2018-11-22,2019-08-13
000520,2018-12-28,buy,10300,0.705,2018-12-24/2018-12-26/2018-12-27,2019-02-08
000520,2019-01-02,buy,10200,0.715,2018-12-24/2018-12-26/2018-12-27/2018-12-28,2019-08-06
000520,2019-02-20,buy,11225,0.714,2019-02-11/2019-02-12/2019-02-13/2019-02-14/2019-02-15/2019-02-18/2019-02-19,2019-05-02
000520,2019-03-12,buy,14200,0.725,2019-03-06/2019-03-07/2019-03-08/2019-03-11,2020-03-02
000520,2019-03-21,sell,15625,0.708,2019-03-15/2019-03-18/2019-03-19/2019-03-20,2019-03-21
000520,2019-04-01,buy,16650,0.749,2019-03-27/2019-03-28/2019-03-29,2019-08-30
000520,2019-04-16,sell,16750,0.719,2019-04-05/2019-04-08/2019-04-09/2019-04-10/2019-04-11/2019-04-12/2019-04-15,2020-01-03
000520,2019-05-08,sell,15125,0.728,2019-04-26/2019-04-29/2019-04-30/2019-05-02/2019-05-03/2019-05-07,2020-01-31
000520,2019-05-16,buy,15425,0.785,2019-05-07/2019-05-08/2019-05-09/2019-05-10/2019-05-13/2019-05-14/2019-05-15,2019-05-16
000520,2019-05-17,sell,15200,0.728,2019-05-14/2019-05-15/2019-05-16,2020-05-11
000520,2019-05-22,buy,14500,0.75,2019-05-17/2019-05-20/2019-05-21,2019-05-22
000520,2019-05-24,buy,13050,0.712,2019-05-17/2019-05-20/2019-05-21/2019-05-22/2019-05-23,2019-05-24
000520,2019-05-30,buy,12650,0.746,2019-05-23/2019-05-24/2019-05-27/2019-05-28/2019-05-29,2019-05-30
000520,2019-06-03,buy,13175,0.741,2019-05-28/2019-05-29/2019-05-30/2019-05-31,2019-06-03
000520,2019-06-19,sell,14125,0.706,2019-06-11/2019-06-12/2019-06-13/2019-06-14/2019-06-17/2019-06-18,2019-08-23
000520,2019-06-26,sell,13150,0.753,2019-06-20/2019-06-21/2019-06-24/2019-06-25,2020-06-16
000520,2019-06-27,buy,13150,0.754,2019-06-24/2019-06-25/2019-06-26,2019-06-27
000520,2019-06-28,buy,12750,0.802,2019-06-24/2019-06-25/2019-06-26/2019-06-27,2019-06-28
000520,2019-07-01,buy,13950,0.756,2019-06-24/2019-06-25/2019-06-26/2019-06-27/2019-06-28,2019-07-01
000520,2019-07-02,buy,14100,0.726,2019-06-24/2019-06-25/2019-06-26/2019-06-27/2019-06-28/2019-07-01,2019-11-01
000520,2019-07-08,sell,13025,0.86,2019-06-28/2019-07-01/2019-07-02/2019-07-03/2019-07-04/2019-07-05,2020-06-22
000520,2019-07-16,buy,12675,0.769,2019-07-05/2019-07-08/2019-07-09/2019-07-10/2019-07-11/2019-07-12/2019-07-15,2019-07-16
000520,2019-07-17,buy,12050,0.793,2019-07-05/2019-07-08/2019-07-09/2019-07-10/2019-07-11/2019-07-12/2019-07-15/2019-07-16,2019-07-17
000520,2019-07-24,buy,11775,0.799,2019-07-16/2019-07-17/2019-07-18/2019-07-19/2019-07-22/2019-07-23,2019-07-24
000520,2019-07-25,buy,11000,0.77,2019-07-16/2019-07-17/2019-07-18/2019-07-19/2019-07-22/2019-07-23/2019-07-24,2019-07-25
000520,2019-08-01,buy,10800,0.743,2019-07-26/2019-07-29/2019-07-30/2019-07-31,2019-08-01
000520,2019-08-07,buy,8400,0.71,2019-08-02/2019-08-05/2019-08-06,2019-08-07
000520,2019-08-08,buy,9425,0.784,2019-08-05/2019-08-06/2019-08-07,2019-08-08
000520,2019-08-09,buy,9400,0.808,2019-08-05/2019-08-06/2019-08-07/2019-08-08,2019-08-09
000520,2019-09-23,sell,11075,0.867,2019-09-16/2019-09-17/2019-09-18/2019-09-19/2019-09-20,2020-08-11
000520,2019-09-24,sell,10775,0.729,2019-09-16/2019-09-17/2019-09-18/2019-09-19/2019-09-20/2019-09-23,2019-09-25
000520,2019-09-26,buy,10400,0.736,2019-09-20/2019-09-23/2019-09-24/2019-09-25,2019-09-26
000520,2019-09-27,buy,11175,0.728,2019-09-20/2019-09-23/2019-09-24/2019-09-25/2019-09-26,2019-09-27
000520,2019-10-04,sell,10550,0.823,2019-09-26/2019-09-27/2019-09-30/2019-10-01/2019-10-02,2020-09-18
000520,2019-11-08,sell,11225,0.751,2019-11-04/2019-11-05/2019-11-06/2019-11-07,2019-11-20
000520,2019-11-21,buy,9900,0.701,2019-11-08/2019-11-11/2019-11-12/2019-11-13/2019-11-14/2019-11-15/2019-11-18/2019-11-19/2019-11-20,2019-11-21
000520,2019-12-03,buy,10075,0.753,2019-11-19/2019-11-20/2019-11-21/2019-11-22/2019-11-25/2019-11-26/2019-11-27/2019-11-28/2019-11-29/2019-12-02,2019-12-03
000520,2019-12-06,buy,10275,0.721,2019-11-19/2019-11-20/2019-11-21/2019-11-22/2019-11-25/2019-11-26/2019-11-27/2019-11-28/2019-11-29/2019-12-02/2019-12-03/2019-12-04/2019-12-05,2019-12-06
000520,2019-12-09,buy,10050,0.765,2019-11-19/2019-11-20/2019-11-21/2019-11-22/2019-11-25/2019-11-26/2019-11-27/2019-11-28/2019-11-29/2019-12-02/2019-12-03/2019-12-04/2019-12-05/2019-12-06,2019-12-09
000520,2020-01-10,buy,10125,0.717,2020-01-03/2020-01-06/2020-01-07/2020-01-08/2020-01-09,2020-01-10
000520,2020-01-30,sell,10475,0.704,2020-01-22/2020-01-23/2020-01-28/2020-01-29,2020-02-11
000520,2020-01-31,sell,10025,0.732,2020-01-23/2020-01-28/2020-01-29/2020-01-30,2021-01-13
000520,2020-02-11,sell,10200,0.728,2020-02-05/2020-02-06/2020-02-07/2020-02-10,2021-01-27
000520,2020-03-03,buy,8900,0.795,2020-02-27/2020-02-28/2020-03-02,2020-03-04
000520,2020-03-17,buy,6600,0.769,2020-03-12/2020-03-13/2020-03-16,2020-03-17
000520,2020-03-23,buy,6600,0.771,2020-03-18/2020-03-19/2020-03-20,2020-03-23
000520,2020-03-27,buy,7475,0.712,2020-03-24/2020-03-25/2020-03-26,2021-03-23
000520,2020-04-21,buy,8825,0.705,2020-04-09/2020-04-10/2020-04-13/2020-04-14/2020-04-16/2020-04-17/2020-04-20,2021-04-06
000520,2020-05-06,buy,9225,0.742,2020-04-28/2020-04-29/2020-05-04,2021-04-27
000520,2020-05-18,sell,9475,0.766,2020-05-04/2020-05-06/2020-05-07/2020-05-08/2020-05-11/2020-05-12/2020-05-13/2020-05-14/2020-05-15,2020-05-20
000520,2020-05-19,sell,9550,0.829,2020-05-04/2020-05-06/2020-05-07/2020-05-08/2020-05-11/2020-05-12/2020-05-13/2020-05-14/2020-05-15/2020-05-18,2020-05-21
000520,2020-05-20,sell,9575,0.833,2020-05-04/2020-05-06/2020-05-07/2020-05-08/2020-05-11/2020-05-12/2020-05-13/2020-05-14/2020-05-15/2020-05-18/2020-05-19,2020-06-01
000520,2020-06-01,buy,9425,0.781,2020-05-20/2020-05-21/2020-05-22/2020-05-25/2020-05-26/2020-05-27/2020-05-28/2020-05-29,2021-04-20
000520,2020-06-02,buy,9700,0.81,2020-05-20/2020-05-21/2020-05-22/2020-05-25/2020-05-26/2020-05-27/2020-05-28/2020-05-29/2020-06-01,2021-03-25
000520,2020-06-03,buy,9350,0.715,2020-05-20/2020-05-21/2020-05-22/2020-05-25/2020-05-26/2020-05-27/2020-05-28/2020-05-29/2020-06-01/2020-06-02,2020-08-06
000520,2020-06-16,sell,10275,0.75,2020-06-08/2020-06-09/2020-06-10/2020-06-11/2020-06-12/2020-06-15,2020-06-17
000520,2020-06-19,sell,10475,0.748,2020-06-16/2020-06-17/2020-06-18,2020-07-31
000520,2020-06-22,sell,10200,0.796,2020-06-16/2020-06-17/2020-06-18/2020-06-19,2020-06-25
000520,2020-06-24,buy,10125,0.729,2020-06-17/2020-06-18/2020-06-19/2020-06-22/2020-06-23,2020-06-24
000520,2020-06-26,buy,9800,0.758,2020-06-18/2020-06-19/2020-06-22/2020-06-23/2020-06-24/2020-06-25,2020-06-26
000520,2020-06-29,buy,9525,0.788,2020-06-18/2020-06-19/2020-06-22/2020-06-23/2020-06-24/2020-06-25/2020-06-26,2020-06-29
000520,2020-06-30,buy,9450,0.75,2020-06-19/2020-06-22/2020-06-23/2020-06-24/2020-06-25/2020-06-26/2020-06-29,2020-06-30
000520,2020-07-01,buy,9200,0.722,2020-06-24/2020-06-25/2020-06-26/2020-06-29/2020-06-30,2020-07-01
000520,2020-07-02,buy,9200,0.732,2020-06-26/2020-06-29/2020-06-30/2020-07-01,2020-07-02
000520,2020-07-03,buy,9325,0.747,2020-06-26/2020-06-29/2020-06-30/2020-07-01/2020-07-02,2020-07-03
000520,2020-07-13,buy,9100,0.746,2020-06-26/2020-06-29/2020-06-30/2020-07-01/2020-07-02/2020-07-03/2020-07-06/2020-07-07/2020-07-08/2020-07-09/2020-07-10,2020-07-13
000520,2020-07-17,buy,9475,0.719,2020-07-06/2020-07-07/2020-07-08/2020-07-09/2020-07-10/2020-07-13/2020-07-14/2020-07-15/2020-07-16,2020-07-30
000520,2020-08-04,buy,10100,0.84,2020-07-24/2020-07-27/2020-07-28/2020-07-29/2020-07-30/2020-07-31/2020-08-03,2021-07-22
000520,2020-08-10,sell,11050,0.849,2020-08-05/2020-08-06/2020-08-07,2020-08-10
000520,2020-08-21,buy,10025,0.717,2020-08-14/2020-08-18/2020-08-19/2020-08-20,2020-09-04
000520,2020-09-09,sell,12100,0.82,2020-09-04/2020-09-07/2020-09-08,2020-09-09
000520,2020-09-16,sell,11850,0.735,2020-09-09/2020-09-10/2020-09-11/2020-09-14/2020-09-15,2021-09-09
000520,2020-09-18,buy,11650,0.734,2020-09-14/2020-09-15/2020-09-16/2020-09-17,2020-09-18
000520,2020-09-24,buy,10600,0.748,2020-09-21/2020-09-22/2020-09-23,2020-09-24
000520,2020-10-15,sell,11425,0.707,2020-10-05/2020-10-06/2020-10-07/2020-10-08/2020-10-12/2020-10-13/2020-10-14,2020-12-15
000520,2020-10-19,buy,11250,0.758,2020-10-14/2020-10-15/2020-10-16,2020-10-19
000520,2020-10-23,buy,10925,0.732,2020-10-14/2020-10-15/2020-10-16/2020-10-19/2020-10-20/2020-10-21/2020-10-22,2020-10-23
000520,2020-10-29,buy,10675,0.746,2020-10-22/2020-10-23/2020-10-26/2020-10-27/2020-10-28,2020-11-03
000520,2020-10-30,buy,10500,0.789,2020-10-22/2020-10-23/2020-10-26/2020-10-27/2020-10-28/2020-10-29,2020-11-10
000520,2020-11-11,sell,10675,0.779,2020-11-06/2020-11-09/2020-11-10,2021-01-18
